ts,oid,trader,side,type,price,qty
15.400000,154,N10,buy,limit,100.51,56
15.400000,155,CA,buy,market,,41
15.600000,156,N2,buy,limit,100.59,21
15.600000,157,N11,sell,limit,100.88,10
15.600000,158,CA,buy,limit,100.56,15
15.900000,159,N8,buy,limit,100.57,42
16.000000,160,N12,buy,limit,100.52,21
16.100000,161,N6,buy,limit,100.44,39
16.300000,162,N4,sell,market,,43
16.400000,163,N12,buy,market,,80
16.400000,164,N13,buy,limit,100.57,27
16.500000,165,N11,buy,market,,13
16.800000,166,N3,sell,limit,100.69,31
16.900000,167,N1,sell,limit,100.67,92
16.900000,84,N5,buy,cancel,100.11,18
16.900000,168,N5,buy,limit,100.43,80
17.000000,103,N14,buy,cancel,100.23,86
17.000000,169,N14,buy,limit,100.41,68
17.100000,170,N0,sell,limit,100.59,90
17.300000,171,N14,buy,market,,89
17.600000,172,N2,buy,limit,100.38,30
17.700000,170,N0,sell,cancel,100.59,1
17.700000,173,N0,buy,market,,70
17.700000,174,N8,buy,limit,100.43,50
17.700000,175,N14,buy,limit,100.12,87
17.800000,176,N0,buy,limit,100.14,49
17.800000,169,N14,buy,cancel,100.41,68
17.800000,177,N14,buy,limit,100.18,73
18.000000,178,N6,sell,limit,100.56,91
18.000000,145,MM,buy,cancel,100.53,80
18.000000,179,MM,buy,limit,100.44,80
18.000000,180,MM,sell,limit,100.54,80
18.100000,181,N8,sell,market,,30
18.100000,182,N11,buy,market,,42
18.200000,140,N9,buy,cancel,100.38,89
18.200000,183,N9,buy,limit,100.50,70
18.200000,154,N10,buy,cancel,100.51,56
18.200000,184,N10,buy,market,,71
18.500000,185,N4,buy,limit,100.49,60
18.600000,186,N6,sell,market,,23
18.600000,187,N10,buy,market,,81
18.700000,188,N3,buy,market,,44
18.800000,104,N12,buy,cancel,100.28,65
18.800000,189,N12,buy,limit,100.50,61
19.200000,190,CB,buy,limit,100.45,71
19.400000,168,N5,buy,cancel,100.43,80
19.400000,191,N5,sell,market,,77
19.400000,192,CB,sell,market,,48
19.500000,193,N11,buy,limit,100.07,41
19.700000,194,N9,sell,limit,100.61,44
19.700000,123,N13,buy,cancel,100.26,85
19.700000,195,N13,sell,limit,100.52,46
19.800000,152,N10,buy,cancel,100.46,67
19.800000,196,N10,sell,limit,100.58,56
19.900000,195,N13,sell,cancel,100.52,46
19.900000,197,N13,sell,limit,100.59,39
20.000000,198,N0,buy,limit,100.42,28
20.000000,199,N6,sell,limit,100.51,13
20.000000,193,N11,buy,cancel,100.07,41
20.000000,200,N11,buy,limit,100.49,75
20.100000,197,N13,sell,cancel,100.59,39
20.100000,201,N13,sell,market,,23
20.200000,202,CA,sell,limit,100.60,71
20.400000,203,N1,sell,limit,100.72,71
20.700000,185,N4,buy,cancel,100.49,60
20.700000,204,N4,buy,limit,100.44,65
20.700000,205,N14,sell,market,,16
20.800000,206,N10,sell,market,,95
20.800000,200,N11,buy,cancel,100.49,75
20.800000,207,N11,sell,limit,100.56,92
20.900000,208,N13,sell,market,,67
20.900000,109,N14,buy,cancel,100.18,39
20.900000,209,N14,sell,market,,47
20.900000,190,CB,buy,cancel,100.45,71
20.900000,210,CB,sell,market,,61
21.000000,133,N5,buy,cancel,100.25,13
21.000000,211,N5,sell,market,,23
21.000000,179,MM,buy,cancel,100.44,80
21.000000,212,MM,buy,limit,100.41,80
21.000000,213,MM,sell,limit,100.51,80
21.100000,67,N1,buy,cancel,100.05,78
21.100000,214,N1,buy,market,,87
21.100000,215,N5,sell,limit,100.43,44
21.200000,216,N6,sell,limit,100.51,63
21.300000,217,N2,sell,limit,100.47,80
21.400000,218,N2,sell,limit,100.56,14
21.400000,118,N12,buy,cancel,100.33,54
21.400000,219,N12,sell,market,,82
21.500000,203,N1,sell,cancel,100.72,71
21.500000,220,N1,sell,limit,100.39,93
21.500000,150,N6,buy,cancel,100.33,36
21.500000,221,N6,sell,market,,43
21.600000,222,N7,buy,limit,100.34,55
21.600000,194,N9,sell,cancel,100.61,44
21.600000,223,N9,buy,limit,100.15,21
21.600000,196,N10,sell,cancel,100.58,56
21.600000,224,N10,sell,market,,21
21.600000,225,N12,buy,limit,100.31,22
21.800000,226,N8,buy,limit,100.21,35
21.800000,227,N10,buy,limit,100.34,87
21.900000,228,N6,sell,limit,100.40,74
21.900000,229,N10,sell,limit,100.40,78
22.100000,230,N11,sell,limit,100.41,49
22.300000,231,N10,sell,market,,44
22.500000,176,N0,buy,cancel,100.14,49
22.500000,232,N0,sell,market,,45
22.500000,233,N5,sell,market,,44
22.500000,234,N7,sell,market,,99
22.600000,235,N3,sell,limit,100.39,19
22.600000,91,N11,buy,cancel,100.31,97
22.600000,236,N11,sell,limit,100.38,17
22.600000,237,N14,sell,limit,100.41,78
22.700000,238,N7,sell,market,,74
22.800000,239,N3,sell,market,,38
22.800000,240,N12,buy,market,,90
22.800000,241,N14,sell,market,,60
23.100000,229,N10,sell,cancel,100.40,24
23.100000,242,N10,sell,limit,100.54,52
23.300000,243,N0,sell,limit,100.38,55
23.300000,244,N3,buy,market,,27
23.500000,245,N13,sell,limit,100.37,53
23.600000,243,N0,sell,cancel,100.38,28
23.600000,246,N0,buy,limit,100.32,67
23.600000,247,CB,sell,market,,83
23.700000,248,N11,sell,limit,100.38,35
23.800000,249,N5,buy,limit,100.17,52
23.800000,250,CA,sell,market,,24
24.000000,251,N5,sell,limit,100.30,25
24.000000,213,MM,sell,cancel,100.51,6
24.000000,252,MM,buy,limit,100.20,80
24.000000,253,MM,sell,limit,100.30,80
24.000000,254,CA,sell,limit,100.42,86
24.700000,255,CA,sell,limit,100.39,93
24.800000,256,N1,sell,limit,100.31,67
24.800000,257,CA,sell,limit,100.33,47
24.800000,258,CB,buy,limit,100.07,61
24.900000,216,N6,sell,cancel,100.51,63
24.900000,259,N6,buy,market,,34
24.900000,260,N13,sell,market,,90
25.100000,261,N12,sell,limit,100.35,64
25.200000,262,N0,buy,limit,100.16,61
25.200000,263,N8,sell,limit,100.35,22
25.400000,264,N10,sell,market,,49
25.400000,265,N14,sell,limit,100.38,18
25.500000,266,N3,sell,limit,100.29,96
25.800000,267,N8,buy,market,,50
25.900000,258,CB,buy,cancel,100.07,61
25.900000,268,CB,sell,limit,100.57,36
26.000000,269,N3,sell,limit,100.45,36
26.000000,270,CB,buy,limit,100.28,30
26.100000,262,N0,buy,cancel,100.16,30
26.100000,271,N0,sell,limit,100.35,51
26.100000,256,N1,sell,cancel,100.31,67
26.100000,272,N1,sell,limit,100.36,97
26.100000,273,N5,sell,market,,68
26.100000,274,N9,sell,market,,10
26.100000,242,N10,sell,cancel,100.54,52
26.100000,275,N10,sell,limit,100.47,32
26.200000,276,N0,sell,limit,100.26,70
26.300000,218,N2,sell,cancel,100.56,14
26.300000,277,N2,sell,market,,86
26.300000,278,N11,buy,limit,100.16,40
26.500000,279,N4,sell,limit,100.30,47
26.500000,280,N10,buy,limit,100.11,37
26.600000,281,N0,buy,market,,96
26.600000,282,N1,sell,market,,29
26.600000,217,N2,sell,cancel,100.47,80
26.600000,283,N2,sell,market,,57
26.600000,279,N4,sell,cancel,100.30,47
26.600000,284,N4,buy,market,,80
26.900000,285,N9,sell,limit,100.29,47
26.900000,286,N11,sell,limit,100.44,23
27.000000,272,N1,sell,cancel,100.36,97
27.000000,287,N1,sell,limit,100.27,59
27.000000,288,N13,sell,limit,100.26,37
27.000000,289,MM,buy,limit,100.21,80
27.000000,290,MM,sell,limit,100.31,80
27.300000,251,N5,sell,cancel,100.30,11
27.300000,291,N5,buy,market,,52
27.500000,292,N3,sell,market,,57
27.500000,268,CB,sell,cancel,100.57,36
27.500000,293,CB,sell,market,,25
27.700000,294,N11,sell,limit,100.38,14
27.800000,295,N4,sell,limit,100.32,62
27.800000,254,CA,sell,cancel,100.42,86
27.800000,296,CA,sell,limit,100.37,46
27.900000,297,N9,sell,limit,100.51,82
27.900000,298,N13,buy,limit,100.29,35
28.100000,299,N4,buy,market,,31
28.200000,300,N1,buy,limit,100.20,41
28.300000,301,N1,sell,market,,59
28.300000,302,N10,buy,market,,17
28.400000,303,N7,sell,limit,100.36,71
28.400000,261,N12,sell,cancel,100.35,64
28.400000,304,N12,sell,limit,100.40,44
28.500000,248,N11,sell,cancel,100.38,35
28.500000,305,N11,sell,market,,12
28.600000,306,N6,sell,limit,100.32,34
28.600000,307,N7,sell,limit,100.50,90
28.700000,275,N10,sell,cancel,100.47,32
28.700000,308,N10,sell,market,,55
28.800000,309,N9,buy,limit,100.17,49
29.200000,271,N0,sell,cancel,100.35,51
29.200000,310,N0,buy,limit,100.23,51
29.300000,269,N3,sell,cancel,100.45,36
29.300000,311,N3,buy,limit,100.13,69
29.300000,285,N9,sell,cancel,100.29,8
29.300000,312,N9,sell,limit,100.45,96
29.400000,313,N10,buy,limit,100.24,34
29.400000,255,CA,sell,cancel,100.39,93
29.400000,314,CA,buy,limit,100.17,24
29.500000,315,N13,buy,limit,100.20,65
29.600000,316,N5,buy,limit,100.20,40
29.800000,317,N6,buy,limit,100.33,82
29.900000,318,N5,buy,limit,100.37,52
30.000000,319,MM,buy,limit,100.29,80
30.000000,320,MM,sell,limit,100.39,80
30.100000,316,N5,buy,cancel,100.20,40
30.100000,321,N5,buy,limit,100.17,55
30.200000,322,N1,buy,limit,100.24,64
30.200000,323,N3,buy,market,,16
30.200000,228,N6,sell,cancel,100.40,74
30.200000,324,N6,buy,market,,39
30.400000,325,N1,buy,market,,47
30.400000,326,N6,buy,limit,100.27,58
30.600000,327,N0,buy,market,,60
30.600000,303,N7,sell,cancel,100.36,20
30.600000,328,N7,sell,limit,100.32,13
30.700000,329,N13,buy,market,,79
30.800000,330,N8,sell,limit,100.42,59
31.100000,331,N4,buy,limit,100.37,46
31.100000,332,N12,buy,limit,100.27,57
31.200000,333,N4,buy,limit,100.26,70
31.300000,334,CA,sell,market,,74
31.400000,335,N3,buy,limit,100.32,44
31.500000,336,CB,sell,limit,100.47,15
31.600000,310,N0,buy,cancel,100.23,51
31.600000,337,N0,buy,limit,100.19,86
31.600000,307,N7,sell,cancel,100.50,90
31.600000,338,N7,sell,limit,100.49,89
31.600000,339,N9,buy,market,,33
31.600000,340,N14,buy,limit,100.32,66
31.700000,341,N3,sell,limit,100.35,46
32.200000,338,N7,sell,cancel,100.49,89
32.200000,342,N7,buy,limit,100.21,96
32.300000,333,N4,buy,cancel,100.26,70
32.300000,343,N4,buy,market,,33
32.500000,344,N1,buy,limit,100.20,26
32.500000,345,N2,sell,limit,100.36,87
32.500000,326,N6,buy,cancel,100.27,58
32.500000,346,N6,sell,market,,98
32.800000,330,N8,sell,cancel,100.42,59
32.800000,347,N8,sell,limit,100.26,64
32.800000,315,N13,buy,cancel,100.20,65
32.800000,348,N13,sell,market,,63
33.000000,311,N3,buy,cancel,100.13,69
33.000000,349,N3,sell,limit,100.33,51
33.000000,304,N12,sell,cancel,100.40,44
33.000000,350,N12,sell,limit,100.29,67
33.000000,320,MM,sell,cancel,100.39,79
33.000000,351,MM,buy,limit,100.16,80
33.000000,352,MM,sell,limit,100.26,80
33.300000,341,N3,sell,cancel,100.35,13
33.300000,353,N3,sell,limit,100.50,56
33.300000,354,N5,buy,limit,100.29,96
33.300000,355,N9,sell,market,,73
33.800000,356,N8,buy,market,,56
33.900000,357,N4,buy,limit,100.32,35
34.100000,358,N6,sell,limit,100.30,86
34.100000,359,N14,sell,market,,50
34.200000,360,N1,buy,market,,62
34.200000,361,N5,buy,limit,100.18,72
34.300000,344,N1,buy,cancel,100.20,26
34.300000,362,N1,buy,market,,23
34.400000,363,N0,sell,limit,100.48,78
34.400000,237,N14,sell,cancel,100.41,78
34.400000,364,N14,buy,limit,100.34,81
34.500000,365,N5,sell,limit,100.50,33
34.500000,366,N9,buy,limit,100.02,59
34.500000,367,N13,sell,limit,100.39,95
34.600000,297,N9,sell,cancel,100.51,82
34.600000,368,N9,buy,limit,100.24,77
34.700000,369,N14,buy,limit,100.09,24
34.900000,370,N7,buy,limit,100.26,48
35.000000,371,N4,sell,limit,100.58,16
35.100000,372,N0,buy,market,,26
35.300000,373,N5,buy,limit,100.36,27
35.400000,337,N0,buy,cancel,100.19,86
35.400000,374,N0,buy,market,,82
35.400000,375,N1,sell,limit,100.59,65
35.400000,376,N14,buy,market,,80
35.500000,202,CA,sell,cancel,100.60,71
35.500000,377,CA,sell,limit,100.45,79
35.700000,378,N13,sell,limit,100.59,11
35.700000,379,N14,buy,limit,100.01,34
35.900000,380,N8,buy,limit,100.23,61
35.900000,381,N13,buy,limit,100.40,93
36.000000,351,MM,buy,cancel,100.16,80
36.000000,382,MM,buy,limit,100.40,80
36.000000,383,MM,sell,limit,100.50,80
36.100000,384,CA,sell,limit,100.85,37
36.200000,385,N9,sell,market,,78
36.200000,386,N10,buy,limit,100.29,67
36.300000,387,N5,buy,market,,13
36.300000,388,N6,buy,market,,95
36.400000,389,N6,buy,limit,100.42,79
36.500000,363,N0,sell,cancel,100.48,78
36.500000,390,N0,buy,limit,100.34,49
36.500000,386,N10,buy,cancel,100.29,67
36.500000,391,N10,buy,limit,100.31,42
36.700000,392,N2,sell,market,,15
36.800000,393,N13,sell,limit,100.64,25
36.900000,375,N1,sell,cancel,100.59,65
36.900000,394,N1,buy,limit,100.43,40
37.000000,394,N1,buy,cancel,100.43,40
37.000000,395,N1,sell,limit,100.46,90
37.100000,389,N6,buy,cancel,100.42,64
37.100000,396,N6,sell,limit,100.48,58
37.400000,397,N4,sell,market,,52
37.500000,398,N0,buy,market,,30
37.500000,399,N12,buy,market,,22
37.600000,379,N14,buy,cancel,100.01,34
37.600000,400,N14,buy,market,,62
37.600000,401,CB,sell,limit,100.53,63
37.700000,402,N2,buy,limit,100.41,63
37.700000,403,N8,buy,limit,100.49,38
37.900000,404,N10,sell,market,,16
37.900000,336,CB,sell,cancel,100.47,15
37.900000,405,CB,buy,limit,100.39,45
38.000000,406,N12,buy,limit,100.29,80
38.100000,380,N8,buy,cancel,100.23,61
38.100000,407,N8,buy,limit,100.55,99
38.100000,408,N11,buy,limit,100.40,24
38.200000,409,N2,buy,limit,100.44,71
38.300000,410,N1,buy,limit,100.29,65
38.300000,411,N13,buy,limit,100.52,11
38.300000,412,N14,buy,limit,100.56,70
38.400000,371,N4,sell,cancel,100.58,16
38.400000,413,N4,buy,market,,79
38.400000,414,N14,buy,market,,38
38.400000,401,CB,sell,cancel,100.53,37
38.400000,415,CB,buy,limit,100.40,68
38.600000,321,N5,buy,cancel,100.17,55
38.600000,416,N5,sell,limit,101.02,27
38.800000,417,N7,buy,limit,100.40,39
38.900000,418,N2,sell,market,,11
38.900000,393,N13,sell,cancel,100.64,25
38.900000,419,N13,buy,limit,100.51,46
39.000000,420,N3,sell,market,,64
39.000000,421,N11,sell,limit,100.54,48
39.000000,378,N13,sell,cancel,100.59,11
39.000000,422,N13,sell,limit,101.01,57
39.000000,382,MM,buy,cancel,100.40,43
39.000000,423,MM,buy,limit,100.45,80
39.000000,424,MM,sell,limit,100.55,80
39.300000,425,N3,buy,limit,100.48,31
39.500000,426,N4,sell,limit,100.62,56
39.600000,427,N13,sell,limit,100.62,55
39.700000,364,N14,buy,cancel,100.34,69
39.700000,428,N14,buy,limit,100.44,66
39.900000,391,N10,buy,cancel,100.31,42
39.900000,429,N10,buy,limit,100.50,50
40.400000,426,N4,sell,cancel,100.62,56
40.400000,430,N4,sell,limit,100.70,58
40.500000,431,N2,buy,limit,100.48,94
40.500000,366,N9,buy,cancel,100.02,59
40.500000,432,N9,sell,limit,100.67,94
40.600000,368,N9,buy,cancel,100.24,77
40.600000,433,N9,sell,market,,16
40.900000,429,N10,buy,cancel,100.50,34
40.900000,434,N10,buy,limit,100.50,53
40.900000,435,N13,buy,limit,100.52,75
41.100000,436,N0,buy,market,,94
41.100000,416,N5,sell,cancel,101.02,27
41.100000,437,N5,buy,market,,20
41.200000,438,N3,buy,limit,100.56,64
41.200000,439,N6,sell,limit,100.85,47
41.300000,440,N11,sell,limit,100.61,70
41.300000,428,N14,buy,cancel,100.44,66
41.300000,441,N14,sell,limit,100.66,65
41.500000,442,N12,buy,limit,100.34,88
41.700000,443,N0,sell,limit,100.60,86
41.700000,402,N2,buy,cancel,100.41,47
41.700000,444,N2,buy,market,,13
42.000000,423,MM,buy,cancel,100.45,80
42.000000,445,MM,buy,limit,100.52,80
42.000000,446,MM,sell,limit,100.62,80
42.200000,390,N0,buy,cancel,100.34,49
42.200000,447,N0,buy,limit,100.61,79
42.300000,415,CB,buy,cancel,100.40,68
42.300000,448,CB,buy,limit,100.64,52
42.500000,449,N8,sell,limit,100.78,22
42.600000,450,N2,buy,limit,100.65,61
42.600000,451,N9,buy,market,,11
42.700000,408,N11,buy,cancel,100.40,24
42.700000,452,N11,buy,market,,80
42.700000,435,N13,buy,cancel,100.52,75
42.700000,453,N13,buy,limit,100.63,82
42.800000,454,N6,buy,limit,100.51,99
42.900000,455,N6,buy,limit,100.62,26
42.900000,456,N13,sell,limit,100.70,80
43.000000,457,N0,buy,market,,46
43.000000,458,N11,buy,market,,84
43.100000,459,CA,buy,limit,100.53,54
43.300000,454,N6,buy,cancel,100.51,99
43.300000,460,N6,sell,limit,100.75,66
43.300000,461,N11,sell,market,,49
43.300000,462,N13,buy,limit,100.66,53
43.900000,369,N14,buy,cancel,100.09,24
43.900000,463,N14,sell,market,,49
44.100000,464,N13,sell,limit,100.82,66
44.200000,432,N9,sell,cancel,100.67,29
44.200000,465,N9,sell,market,,35
44.300000,384,CA,sell,cancel,100.85,37
44.300000,466,CA,buy,limit,100.36,97
44.600000,467,N10,buy,limit,100.53,49
44.700000,468,N1,buy,market,,64
44.700000,469,N4,buy,market,,67
44.800000,470,N6,buy,limit,100.61,61
44.900000,471,N3,buy,limit,100.62,18
45.000000,445,MM,buy,cancel,100.52,80
45.000000,472,MM,buy,limit,100.55,80
45.000000,473,MM,sell,limit,100.65,80
45.100000,406,N12,buy,cancel,100.29,80
45.100000,474,N12,buy,limit,100.53,49
45.200000,475,N4,sell,limit,100.75,70
45.200000,361,N5,buy,cancel,100.18,72
45.200000,476,N5,buy,limit,100.33,77
45.200000,477,N7,sell,limit,100.68,15
45.200000,478,N10,sell,limit,100.57,66
45.400000,479,N2,sell,limit,100.58,98
45.400000,480,N8,buy,limit,100.42,90
45.400000,456,N13,sell,cancel,100.70,7
45.400000,481,N13,buy,limit,100.51,79
45.400000,482,N14,sell,limit,100.62,78
45.500000,449,N8,sell,cancel,100.78,22
45.500000,483,N8,buy,limit,100.35,88
45.600000,484,N5,buy,limit,100.47,33
45.600000,485,N7,buy,market,,74
45.800000,464,N13,sell,cancel,100.82,66
45.800000,486,N13,sell,limit,100.56,87
45.900000,439,N6,sell,cancel,100.85,47
45.900000,487,N6,sell,limit,100.60,55
46.000000,475,N4,sell,cancel,100.75,70
46.000000,488,N4,sell,market,,38
46.000000,487,N6,sell,cancel,100.60,55
46.000000,489,N6,sell,limit,100.63,43
46.200000,490,N0,sell,market,,11
46.200000,491,N8,sell,market,,30
46.300000,409,N2,buy,cancel,100.44,42
46.300000,492,N2,sell,limit,100.58,73
46.300000,405,CB,buy,cancel,100.39,45
46.300000,493,CB,sell,limit,100.69,32
46.500000,494,N1,sell,limit,100.53,74
