ts,buyer,seller,price,qty,aggressor,mid_at_trade
22.500000,N10,N7,100.34,33,sell,100.370000
22.500000,N7,N7,100.33,66,sell,100.365000
22.700000,N7,N7,100.33,2,sell,100.355000
22.700000,N12,N7,100.31,22,sell,100.345000
22.700000,N14,N7,100.30,50,sell,100.340000
22.800000,N14,N3,100.30,1,sell,100.340000
22.800000,N8,N3,100.21,35,sell,100.295000
22.800000,N14,N3,100.18,2,sell,100.280000
22.800000,N12,N11,100.38,17,buy,100.280000
22.800000,N12,N3,100.39,19,buy,100.285000
22.800000,N12,N10,100.40,54,buy,100.290000
22.800000,N14,N14,100.18,60,sell,100.290000
23.300000,N3,N0,100.38,27,buy,100.280000
23.600000,N0,CB,100.32,67,sell,100.345000
23.600000,N14,CB,100.18,11,sell,100.275000
23.600000,N9,CB,100.15,5,sell,100.260000
23.800000,N5,CA,100.17,24,sell,100.270000
24.900000,N6,MM,100.30,34,buy,100.250000
24.900000,MM,N13,100.20,80,sell,100.250000
24.900000,N5,N13,100.17,10,sell,100.235000
25.400000,N5,N10,100.17,18,sell,100.235000
25.400000,N0,N10,100.16,31,sell,100.230000
25.800000,N8,N3,100.29,50,buy,100.225000
26.100000,CB,N5,100.28,30,sell,100.285000
26.100000,N9,N5,100.15,16,sell,100.220000
26.100000,N14,N5,100.12,22,sell,100.205000
26.100000,N14,N9,100.12,10,sell,100.205000
26.300000,N14,N2,100.12,55,sell,100.190000
26.300000,seed,N2,99.95,31,sell,100.105000
26.600000,N0,N0,100.26,70,buy,100.210000
26.600000,N0,N3,100.29,26,buy,100.225000
26.600000,N11,N1,100.16,29,sell,100.225000
26.600000,N11,N2,100.16,11,sell,100.225000
26.600000,N10,N2,100.11,37,sell,100.200000
26.600000,seed,N2,99.95,6,sell,100.120000
26.600000,N4,N3,100.29,20,buy,
26.600000,N4,MM,100.30,46,buy,
26.600000,N4,N5,100.30,14,buy,
27.300000,N5,N13,100.26,37,buy,100.235000
27.300000,N5,N1,100.27,15,buy,100.240000
27.500000,MM,N3,100.21,57,sell,100.240000
27.500000,MM,CB,100.21,23,sell,100.240000
27.900000,N13,N1,100.27,35,buy,
28.100000,N4,N1,100.27,9,buy,
28.100000,N4,N9,100.29,22,buy,
28.300000,N1,N1,100.20,41,sell,100.245000
28.300000,N10,N9,100.29,17,buy,
29.800000,N6,MM,100.31,80,buy,100.275000
29.800000,N6,N4,100.32,2,buy,100.280000
29.900000,N5,N4,100.32,52,buy,100.280000
30.200000,N3,N4,100.32,8,buy,100.305000
30.200000,N3,N6,100.32,8,buy,100.305000
30.200000,N6,N6,100.32,26,buy,100.305000
30.200000,N6,CA,100.33,13,buy,100.310000
30.400000,N1,CA,100.33,34,buy,100.310000
30.400000,N1,N8,100.35,13,buy,100.320000
30.600000,N0,N8,100.35,9,buy,100.320000
30.600000,N0,N7,100.36,51,buy,100.325000
30.700000,N13,N7,100.32,13,buy,100.305000
30.700000,N13,N13,100.37,53,buy,100.330000
30.700000,N13,CA,100.37,13,buy,100.330000
31.100000,N4,CA,100.37,33,buy,100.330000
31.300000,N4,CA,100.37,13,sell,100.375000
31.300000,MM,CA,100.29,61,sell,100.335000
31.600000,N9,N14,100.38,18,buy,100.350000
31.600000,N9,N11,100.38,14,buy,100.350000
31.600000,N9,MM,100.39,1,buy,100.355000
32.300000,N4,N3,100.35,33,buy,100.335000
32.500000,N3,N6,100.32,44,sell,100.335000
32.500000,N14,N6,100.32,54,sell,100.335000
32.800000,N14,N8,100.32,12,sell,100.335000
32.800000,MM,N8,100.29,19,sell,100.320000
32.800000,N12,N8,100.27,33,sell,100.310000
32.800000,N12,N13,100.27,24,sell,100.310000
32.800000,N10,N13,100.24,34,sell,100.295000
32.800000,N1,N13,100.24,5,sell,100.295000
33.300000,N5,MM,100.26,80,buy,100.250000
33.300000,N5,N12,100.29,16,buy,100.265000
33.300000,N1,N9,100.24,59,sell,100.265000
33.300000,N7,N9,100.21,14,sell,100.250000
33.800000,N8,N12,100.29,51,buy,100.250000
33.800000,N8,N3,100.33,5,buy,100.270000
34.100000,N4,N6,100.32,35,sell,100.325000
34.100000,N7,N14,100.21,50,sell,100.255000
34.200000,N1,N6,100.30,51,buy,100.255000
34.200000,N1,N3,100.33,11,buy,100.270000
34.300000,N1,N3,100.33,23,buy,100.270000
34.400000,N14,N3,100.33,12,buy,100.270000
35.100000,N0,N2,100.36,26,buy,100.350000
35.300000,N5,N2,100.36,27,buy,100.350000
35.400000,N0,N2,100.36,34,buy,100.350000
35.400000,N0,N13,100.39,48,buy,100.365000
35.400000,N14,N13,100.39,47,buy,100.365000
35.400000,N14,N11,100.41,33,buy,100.375000
36.200000,N13,N9,100.40,78,sell,100.405000
36.300000,N5,N11,100.41,13,buy,100.405000
36.300000,N6,N11,100.41,3,buy,100.405000
36.300000,N6,N11,100.44,23,buy,100.420000
36.300000,N6,N9,100.45,69,buy,100.425000
36.700000,N6,N2,100.42,15,sell,100.435000
37.400000,N13,N4,100.40,15,sell,100.425000
37.400000,MM,N4,100.40,37,sell,100.425000
37.500000,N0,N9,100.45,27,buy,100.425000
37.500000,N0,CA,100.45,3,buy,100.425000
37.500000,N12,CA,100.45,22,buy,100.425000
37.600000,N14,CA,100.45,54,buy,100.425000
37.600000,N14,N1,100.46,8,buy,100.430000
37.700000,N8,N1,100.46,38,buy,100.435000
37.900000,N2,N10,100.41,16,sell,100.435000
38.100000,N8,N1,100.46,44,buy,100.435000
38.100000,N8,N6,100.48,55,buy,100.445000
38.300000,N13,N6,100.48,3,buy,100.460000
38.300000,N13,N3,100.50,8,buy,100.470000
38.300000,N14,N3,100.50,48,buy,100.470000
38.300000,N14,N5,100.50,22,buy,100.470000
38.400000,N4,N5,100.50,11,buy,100.470000
38.400000,N4,MM,100.50,68,buy,100.470000
38.400000,N14,MM,100.50,12,buy,100.470000
38.400000,N14,CB,100.53,26,buy,100.485000
38.900000,N2,N2,100.44,11,sell,100.500000
39.000000,N13,N3,100.51,46,sell,100.535000
39.000000,N2,N3,100.44,18,sell,100.500000
40.600000,N10,N9,100.50,16,sell,100.520000
41.100000,N0,N11,100.54,48,buy,100.530000
41.100000,N0,MM,100.55,46,buy,100.535000
41.100000,N5,MM,100.55,20,buy,100.535000
41.200000,N3,MM,100.55,14,buy,100.535000
41.200000,N3,N11,100.56,50,buy,100.540000
41.700000,N2,N11,100.56,13,buy,100.540000
42.200000,N0,N11,100.56,29,buy,100.540000
42.200000,N0,N0,100.60,50,buy,100.560000
42.300000,CB,N0,100.60,36,buy,100.560000
42.300000,CB,N11,100.61,16,buy,100.565000
42.600000,N2,N11,100.61,54,buy,100.565000
42.600000,N2,N13,100.62,7,buy,100.570000
42.600000,N9,N13,100.62,11,buy,100.570000
42.700000,N11,N13,100.62,37,buy,100.570000
42.700000,N11,MM,100.62,43,buy,100.570000
42.700000,N13,MM,100.62,37,buy,100.570000
43.000000,N0,N14,100.66,46,buy,100.645000
43.000000,N11,N14,100.66,19,buy,100.645000
43.000000,N11,N9,100.67,65,buy,100.650000
43.300000,N13,N11,100.63,45,sell,100.650000
43.300000,N6,N11,100.62,4,sell,100.645000
43.900000,N13,N14,100.66,49,sell,100.665000
44.200000,N13,N9,100.66,4,sell,100.680000
44.200000,N6,N9,100.62,22,sell,100.660000
44.200000,CA,N9,100.53,9,sell,100.615000
44.700000,N1,N4,100.70,58,buy,100.615000
44.700000,N1,N13,100.70,6,buy,100.615000
44.700000,N4,N13,100.70,67,buy,100.615000
45.200000,N3,N10,100.62,18,sell,100.635000
45.200000,N6,N10,100.61,48,sell,100.630000
45.400000,N6,N2,100.61,13,sell,100.630000
45.600000,N7,N2,100.58,74,buy,100.565000
46.000000,MM,N4,100.55,38,sell,100.555000
46.200000,MM,N0,100.55,11,sell,100.555000
46.200000,MM,N8,100.55,30,sell,100.555000
46.500000,MM,N1,100.55,1,sell,100.555000
46.500000,CA,N1,100.53,45,sell,100.545000
46.500000,N10,N1,100.53,28,sell,100.545000
46.500000,N10,N14,100.53,17,sell,100.545000
46.600000,N10,CA,100.53,4,sell,100.545000
46.600000,N12,CA,100.53,47,sell,100.545000
46.700000,N12,N13,100.56,74,buy,100.545000
47.000000,N12,N13,100.56,13,buy,100.545000
47.000000,N12,N14,100.57,46,buy,100.550000
47.000000,N12,N2,100.58,3,buy,100.555000
47.200000,N12,N7,100.53,2,sell,100.555000
47.200000,N13,N7,100.51,64,sell,100.545000
47.300000,N2,N2,100.58,8,buy,100.545000
47.300000,N2,N2,100.58,20,buy,100.545000
47.300000,N13,N5,100.51,15,sell,100.545000
47.300000,N10,N5,100.50,20,sell,100.540000
47.800000,N10,N7,100.50,33,sell,100.540000
47.800000,N8,N7,100.49,33,sell,100.535000
49.200000,N13,CA,100.56,52,buy,100.545000
49.300000,N11,CA,100.56,40,buy,100.545000
49.300000,N11,N4,100.56,18,buy,100.545000
49.300000,N11,N2,100.58,6,buy,100.555000
49.400000,N10,CA,100.53,18,sell,100.555000
49.800000,MM,N12,100.52,80,sell,100.525000
49.800000,N8,N12,100.49,11,sell,100.510000
50.200000,N2,N3,100.50,82,sell,100.515000
50.200000,N8,N3,100.49,7,sell,100.510000
50.300000,N2,CA,100.53,14,buy,100.510000
50.300000,N11,CA,100.53,54,buy,100.510000
50.300000,N11,N3,100.58,21,buy,100.535000
50.300000,N12,N3,100.58,77,buy,100.535000
50.300000,N12,N9,100.61,11,buy,100.550000
50.800000,N5,N8,100.47,12,sell,100.500000
50.800000,N5,N14,100.47,21,sell,100.500000
50.800000,CA,N14,100.46,17,sell,100.495000
50.900000,N12,N0,100.53,43,buy,100.495000
50.900000,N12,CB,100.53,46,buy,100.495000
51.000000,N3,CB,100.53,18,buy,100.495000
51.000000,N3,N9,100.61,18,buy,100.535000
51.000000,N3,CA,100.61,17,buy,100.535000
51.000000,N3,MM,100.62,12,buy,100.540000
51.500000,CA,N5,100.46,38,sell,100.495000
51.500000,N7,N5,100.43,2,sell,100.480000
51.800000,N7,N1,100.43,8,sell,100.480000
51.800000,MM,N1,100.43,80,sell,100.480000
51.800000,N8,N1,100.42,4,sell,100.475000
51.800000,N8,N14,100.42,60,sell,100.430000
51.900000,N8,N1,100.42,26,sell,100.430000
51.900000,N7,N1,100.40,18,sell,100.420000
51.900000,N7,N7,100.40,21,sell,100.420000
51.900000,N8,N7,100.35,73,sell,100.395000
52.200000,CA,N5,100.42,42,buy,100.410000
52.400000,N9,N10,100.40,43,sell,100.410000
52.400000,N1,N10,100.38,11,sell,100.400000
52.400000,N8,N10,100.35,15,sell,100.385000
52.400000,N12,N10,100.33,1,sell,100.375000
52.600000,N12,N6,100.33,26,sell,100.375000
52.800000,N7,N5,100.42,52,buy,100.375000
52.800000,N7,N9,100.44,15,buy,100.385000
53.000000,N12,N8,100.33,65,sell,100.355000
53.000000,N1,N8,100.30,23,sell,100.340000
54.000000,MM,N2,100.38,67,buy,100.340000
54.100000,MM,N13,100.38,13,sell,100.395000
54.100000,N1,N13,100.30,12,sell,100.355000
54.200000,N1,N11,100.30,10,sell,100.355000
54.200000,CA,N11,100.30,49,sell,100.355000
54.200000,N0,N11,100.27,11,sell,100.340000
54.700000,CA,N8,100.41,53,buy,100.340000
54.700000,CA,N9,100.44,12,buy,100.355000
55.000000,N0,N9,100.44,63,buy,100.355000
55.300000,N11,N9,100.44,3,buy,100.390000
55.300000,N11,N9,100.44,31,buy,100.390000
55.300000,N11,N12,100.44,5,buy,100.390000
55.500000,N7,N12,100.44,74,buy,100.410000
55.500000,N7,MM,100.48,6,buy,100.430000
55.600000,N3,MM,100.48,40,buy,100.430000
55.700000,N6,MM,100.48,34,buy,100.430000
55.700000,N6,N5,100.50,60,buy,100.440000
55.700000,N11,N5,100.50,17,buy,100.440000
55.900000,N6,N5,100.50,11,buy,100.440000
55.900000,N6,N2,100.54,75,buy,100.460000
56.100000,N6,N2,100.54,3,buy,100.530000
56.100000,N6,N6,100.58,58,buy,100.550000
56.100000,N6,N7,100.58,33,buy,100.550000
56.300000,N3,N7,100.58,7,buy,100.570000
56.300000,N3,N5,100.59,42,buy,100.575000
56.600000,N6,N9,100.56,24,sell,100.575000
56.900000,N12,N5,100.59,33,buy,100.580000
57.200000,N8,N13,100.63,61,buy,100.615000
57.800000,N14,N5,100.61,58,sell,100.620000
57.800000,N2,N5,100.61,6,sell,100.620000
57.900000,N14,N13,100.63,37,buy,100.620000
57.900000,N14,MM,100.65,22,buy,100.630000
58.000000,N2,N6,100.61,33,sell,100.630000
58.000000,N12,N6,100.60,12,sell,100.625000
58.000000,N14,N8,100.57,22,sell,100.580000
59.300000,N9,N9,100.58,28,sell,100.600000
59.400000,N13,CB,100.62,35,buy,100.600000
59.500000,N3,CB,100.62,22,buy,100.600000
59.700000,N9,N0,100.58,23,sell,100.600000
59.700000,N14,N0,100.57,23,sell,100.595000
59.700000,N6,N0,100.56,35,sell,100.590000
59.700000,N6,N13,100.56,5,sell,100.590000
59.700000,MM,N13,100.55,22,sell,100.585000
60.000000,MM,N2,100.55,58,sell,100.585000
60.000000,N9,N2,100.55,31,sell,100.585000
60.000000,N9,MM,100.55,42,sell,100.585000
60.000000,N10,MM,100.54,37,sell,100.580000
60.000000,N4,MM,100.54,1,sell,100.580000
60.400000,N4,N7,100.54,36,sell,100.545000
60.400000,N8,N7,100.51,50,sell,100.530000
60.400000,N1,N8,100.51,66,sell,100.530000
60.400000,N1,N9,100.51,18,sell,100.530000
60.500000,N11,N13,100.45,52,sell,100.485000
60.500000,N12,N13,100.43,2,sell,100.475000
60.800000,N13,N3,100.46,12,sell,100.490000
60.900000,N1,N1,100.52,16,buy,100.490000
61.600000,N9,N1,100.52,62,buy,100.490000
61.600000,N9,N14,100.56,9,buy,100.510000
61.600000,CA,N14,100.56,43,buy,100.510000
61.600000,CA,N10,100.57,51,buy,100.515000
61.700000,N13,N7,100.46,35,sell,100.515000
61.700000,N12,N7,100.46,30,sell,100.515000
61.800000,N6,N10,100.57,5,buy,100.515000
61.800000,N6,N12,100.58,26,buy,100.520000
62.200000,N12,N9,100.46,24,sell,100.520000
62.200000,N5,N9,100.43,5,sell,100.505000
62.900000,N5,N11,100.51,39,buy,100.470000
62.900000,N5,N12,100.58,21,buy,100.505000
62.900000,N5,N10,100.60,21,buy,100.515000
63.100000,MM,N11,100.44,80,sell,100.470000
63.100000,N5,N11,100.43,19,sell,100.465000
63.100000,N12,N14,100.50,56,buy,100.465000
63.100000,N12,N9,100.52,35,buy,100.475000
63.500000,N5,N9,100.52,48,buy,100.475000
63.500000,N5,MM,100.54,40,buy,100.485000
64.100000,N5,CA,100.43,33,sell,100.445000
64.200000,N4,N6,100.46,15,buy,100.445000
64.200000,N4,N0,100.51,31,buy,100.470000
64.200000,N4,MM,100.54,24,buy,100.485000
64.200000,N12,N6,100.43,43,sell,100.485000
64.200000,N0,N6,100.38,9,sell,100.460000
65.100000,N1,N3,100.47,52,sell,100.505000
65.400000,N5,CA,100.49,21,buy,100.480000
65.400000,N1,N6,100.47,39,sell,100.480000
65.400000,N5,N6,100.44,17,sell,100.465000
65.500000,N4,CA,100.49,21,buy,100.465000
65.700000,N13,N10,100.42,30,sell,100.450000
66.200000,N13,N11,100.42,9,sell,100.450000
66.200000,MM,N11,100.42,11,sell,100.450000
66.600000,MM,N7,100.42,27,sell,100.450000
66.700000,N1,N7,100.48,87,buy,100.450000
66.900000,MM,N3,100.42,42,sell,100.450000
66.900000,N3,N3,100.40,9,sell,100.440000
66.900000,N3,N11,100.40,17,sell,100.440000
66.900000,CB,N11,100.39,19,sell,100.435000
66.900000,N0,N11,100.38,18,sell,100.430000
67.200000,N7,N7,100.46,69,buy,100.440000
67.200000,N7,N7,100.48,1,buy,100.450000
67.200000,N7,CA,100.49,15,buy,100.455000
67.200000,N7,N5,100.51,3,buy,100.465000
68.200000,N13,N5,100.51,54,buy,100.490000
68.200000,N13,MM,100.52,2,buy,100.495000
69.800000,N3,N13,100.52,60,sell,100.540000
70.000000,N10,N14,100.56,55,buy,100.540000
70.000000,N10,N2,100.58,24,buy,100.550000
71.100000,N3,N11,100.52,14,sell,100.550000
71.200000,N7,N10,100.49,41,sell,100.500000
71.400000,N7,N6,100.49,48,sell,100.500000
71.400000,MM,N6,100.49,37,sell,100.500000
71.500000,N5,N11,100.51,9,buy,100.500000
71.500000,N5,N2,100.58,12,buy,100.535000
71.500000,N5,MM,100.59,38,buy,100.540000
72.000000,MM,N6,100.49,23,sell,100.540000
72.300000,N3,N0,100.47,24,sell,100.490000
72.900000,N0,MM,100.51,20,buy,100.490000
73.100000,N3,N2,100.47,41,sell,100.490000
73.100000,N7,N2,100.47,6,sell,100.490000
73.300000,N7,CA,100.47,25,sell,100.490000
73.300000,N11,CA,100.47,43,sell,100.490000
73.400000,N0,N4,100.45,20,sell,100.460000
73.400000,N1,N4,100.44,16,sell,100.455000
73.400000,N0,N4,100.42,11,sell,100.445000
73.600000,N0,N4,100.42,34,sell,100.445000
73.900000,N0,N14,100.42,3,sell,100.430000
73.900000,N7,N14,100.42,8,sell,100.430000
74.100000,N4,CB,100.44,53,buy,100.430000
74.100000,N4,CA,100.47,10,buy,100.445000
74.200000,N7,N4,100.42,18,sell,100.445000
74.500000,N7,N13,100.42,9,sell,100.445000
74.500000,MM,N13,100.41,65,sell,100.440000
74.600000,MM,N1,100.41,15,sell,100.440000
74.600000,N12,N1,100.41,23,sell,100.440000
74.600000,N12,N9,100.41,39,sell,100.440000
74.600000,N8,N9,100.40,29,sell,100.435000
74.700000,N8,N10,100.40,47,sell,100.435000
74.700000,N0,N10,100.38,23,sell,100.425000
74.900000,N10,N14,100.40,10,buy,100.390000
74.900000,N0,N14,100.38,7,sell,100.390000
74.900000,N0,N14,100.38,7,sell,100.390000
75.000000,N0,N6,100.38,55,sell,100.390000
75.000000,N2,N6,100.35,22,sell,100.375000
75.000000,N2,N7,100.35,10,sell,100.375000
75.500000,N2,N7,100.35,18,sell,100.355000
75.600000,N2,N6,100.35,47,sell,100.355000
75.600000,N0,N6,100.35,32,sell,100.355000
75.600000,N6,N6,100.35,4,sell,100.355000
75.600000,N6,CB,100.35,66,sell,100.355000
75.900000,N0,N14,100.29,40,sell,100.310000
76.600000,N9,N9,100.29,41,sell,100.310000
76.700000,N9,N9,100.29,41,sell,100.310000
77.100000,N9,N6,100.29,9,sell,100.310000
77.100000,N0,N6,100.28,17,sell,100.305000
77.100000,N0,N6,100.26,46,sell,100.295000
77.600000,MM,N4,100.26,22,sell,100.295000
77.600000,MM,N6,100.26,57,sell,100.295000
77.600000,MM,N8,100.26,1,sell,100.295000
77.600000,N8,N8,100.25,61,sell,100.290000
77.700000,N8,CB,100.33,5,buy,100.290000
77.700000,N8,MM,100.36,54,buy,100.305000
77.700000,N8,N10,100.25,22,sell,100.305000
77.700000,N1,N10,100.24,18,sell,100.300000
77.700000,N2,N10,100.22,14,sell,100.290000
78.000000,N2,N5,100.22,78,sell,100.290000
78.000000,N2,N5,100.21,20,sell,100.285000
78.000000,MM,N5,100.36,40,buy,100.285000
78.000000,MM,CA,100.37,40,buy,100.290000
78.200000,CA,CA,100.37,20,buy,100.290000
78.200000,CA,N14,100.40,3,buy,100.305000
78.300000,N2,N11,100.21,56,sell,100.305000
78.300000,N13,N11,100.19,11,sell,100.295000
78.400000,N4,N14,100.40,82,buy,100.295000
78.500000,N13,N4,100.19,41,sell,100.295000
78.900000,N2,N14,100.40,3,buy,100.295000
78.900000,N2,N7,100.42,63,buy,100.305000
79.100000,N8,N7,100.42,31,buy,100.305000
79.100000,N8,N10,100.43,1,buy,100.310000
79.300000,N13,N10,100.19,43,sell,100.310000
79.300000,N13,N10,100.16,33,sell,100.295000
79.400000,N2,N10,100.43,25,buy,100.295000
79.400000,N2,N5,100.44,13,buy,100.300000
79.400000,N2,N7,100.44,24,buy,100.300000
79.500000,N11,N7,100.44,22,buy,100.300000
79.500000,N12,N7,100.44,19,buy,100.300000
79.500000,N14,N7,100.44,29,buy,100.300000
79.500000,N14,N13,100.45,4,buy,100.305000
79.700000,N6,N13,100.45,44,buy,100.305000
79.700000,N6,CA,100.48,27,buy,100.320000
79.800000,N6,CA,100.48,69,buy,100.320000
79.800000,N6,N14,100.48,22,buy,100.320000
79.800000,N6,N10,100.49,8,buy,100.325000
80.000000,N0,N10,100.49,18,buy,100.325000
80.100000,N1,N10,100.49,46,buy,100.325000
80.100000,N13,MM,100.50,44,buy,100.495000
80.300000,N1,N5,100.49,22,sell,100.495000
80.400000,N13,MM,100.50,36,buy,100.495000
80.400000,N13,N10,100.53,23,buy,100.510000
80.500000,N4,N10,100.53,7,buy,100.510000
80.500000,N4,CA,100.54,56,buy,100.515000
80.500000,CB,CA,100.54,36,buy,100.515000
80.500000,CB,N13,100.54,17,buy,100.515000
80.500000,CB,N14,100.55,8,buy,100.520000
80.700000,N2,N14,100.55,23,buy,100.520000
80.700000,N2,N13,100.55,44,buy,100.520000
80.700000,N2,N0,100.56,7,buy,100.525000
80.800000,N6,N0,100.56,51,buy,100.525000
80.800000,N6,N13,100.57,15,buy,100.530000
80.800000,N10,N13,100.57,36,buy,100.530000
80.800000,N10,N5,100.64,20,buy,100.565000
81.000000,N0,N5,100.64,49,buy,100.635000
81.000000,N0,CA,100.65,10,buy,100.640000
81.000000,N0,N5,100.66,33,buy,100.645000
81.000000,MM,N5,100.66,57,buy,100.645000
81.100000,N2,N9,100.69,31,buy,100.675000
81.100000,N2,N3,100.72,22,buy,100.690000
81.400000,N12,N3,100.72,19,buy,100.715000
81.700000,N5,N3,100.72,14,buy,100.715000
82.100000,N14,N3,100.72,30,buy,100.715000
